Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:35
0a5adb04-0818-4e95-b750-4a6a7606824d,,,"Head (Injury of eye and orbit), Diagnosis",Head (Injury of eye and orbit),,Diagnosis,N/A,,,
7e603c04-ec86-4ec8-ba0e-bbe4d6ceee25,,,"Glaucoma (Primary angle-closure glaucoma), Diagnosis",Glaucoma (Primary angle-closure glaucoma),,Diagnosis,N/A,,,
72a789a8-e434-47a6-91db-bdf48a7dd88d,,,"Pain (Pain unspecified), Diagnosis",Pain (Pain unspecified),,Diagnosis,N/A,,,
369f067f-c3f3-4d93-998e-5aefbd7fbc37,,,"Nystagmus (Nystagmus and other irregular eye movements), Diagnosis",Nystagmus (Nystagmus and other irregular eye movements),,Diagnosis,N/A,,,
af1feb7c-8712-4103-b94a-c6f82a8b0af5,,,"Strabismus (Strabismus unspecified), Diagnosis",Strabismus (Strabismus unspecified),,Diagnosis,N/A,,,
2b224721-308a-4d7d-b20a-d4e4447b4d98,,,"Ectropion (Lagophthalmos), Diagnosis",Ectropion (Lagophthalmos),,Diagnosis,N/A,,,
34a20e83-db9f-443f-b387-99d1317251ef,,,"Double Vision (Diplopia), Diagnosis",Double Vision (Diplopia),,Diagnosis,N/A,,,
17269191-855b-4624-99c7-bf9d587a6d19,,,"Amblyopia (Amblyopia ex anopsia), Diagnosis",Amblyopia (Amblyopia ex anopsia),,Diagnosis,N/A,,,
6599fa45-a384-4f47-afd2-57ac7bd7c7ae,,,"Pain (Ocular pain), Diagnosis",Pain (Ocular pain),,Diagnosis,N/A,,,
cad50863-1956-4f82-8cdb-cebfa896c437,,,"Tuberculosis (Iridocyclitis), Diagnosis",Tuberculosis (Iridocyclitis),,Diagnosis,N/A,,,
4f0310f3-80ef-4eed-814e-cd57387f9c00,,,"Entropion (Entropion and trichiasis of eyelid), Diagnosis",Entropion (Entropion and trichiasis of eyelid),,Diagnosis,N/A,,,
15d300be-3e68-4915-b9b4-438bd54fb940,,,"Keratitis (Other superficial keratitis without conjunctivitis), Diagnosis",Keratitis (Other superficial keratitis without conjunctivitis),,Diagnosis,N/A,,,
1155dab8-05bc-42f2-b129-f5181e062743,,,Keratitis (Eye diagnosis),Keratitis,,Diagnosis,N/A,,,
f97dce8e-25d2-48e0-9485-a94e53ec06a7,,,Blepharitis (Eye diagnosis),Blepharitis,,Diagnosis,N/A,,,
cf642e2c-8fcd-4663-ae0d-d5c08ff42019,,,"Disorders Of Ocular Muscles Binocular Movement Accommodation And Refraction, Diagnosis",Disorders Of Ocular Muscles Binocular Movement Accommodation And Refraction,,Diagnosis,N/A,,,
ede0b47b-4c10-4154-961c-ab63e91d4f60,,,Night Blindness (Eye Diagnosis),Night Blindness,,Diagnosis,N/A,,,
d1f89dd0-b6d3-4878-b0a8-e86fe27e5a38,,ICD-11-WHO:9A00,Congenital malposition of eyelids (Eye diagnosis),Congenital malposition of eyelids - ICD-11-WHO:9A00,Congenital malposition of eyelids,Diagnosis,N/A,,,
46aecc55-cecd-4849-a990-062f43818f17,,ICD-11-WHO:9A00.0,Dystopia canthorum (Eye diagnosis),Dystopia canthorum - ICD-11-WHO:9A00.0,Dystopia canthorum,Diagnosis,N/A,,,
5fb7349a-0263-45db-ab01-00ac99cf77b3,,ICD-11-WHO:9A00.1,Telecanthus (Eye diagnosis),Telecanthus - ICD-11-WHO:9A00.1,Telecanthus,Diagnosis,N/A,,,
dcfb1bb0-e360-4634-9393-c3faf3489846,,ICD-11-WHO:9A00.Y,Other specified congenital malposition of eyelids (Eye diagnosis),Other specified congenital malposition of eyelids - ICD-11-WHO:9A00.Y,Other specified congenital malposition of eyelids,Diagnosis,N/A,,,
dec2e014-b7d0-49a7-8fa4-8d08545c284a,,ICD-11-WHO:9A00.Z,Congenital malposition of eyelids unspecified (Eye diagnosis),Congenital malposition of eyelids unspecified - ICD-11-WHO:9A00.Z,Congenital malposition of eyelids unspecified,Diagnosis,N/A,,,
e7d78ac6-e478-45f1-8f76-cffe4ff4f588,,ICD-11-WHO:9A01,Infectious disorders of eyelid (Eye diagnosis),Infectious disorders of eyelid - ICD-11-WHO:9A01,Infectious disorders of eyelid,Diagnosis,N/A,,,
64f0ea77-db8f-4ce9-8b34-38c9324506cf,,ICD-11-WHO:9A01.21,Hordeolum internum (Eye diagnosis),Hordeolum internum - ICD-11-WHO:9A01.21,Hordeolum internum,Diagnosis,N/A,,,
a260b56c-c389-4822-9eb5-dc6bde4aca5e,,ICD-11-WHO:9A01.2Z,Hordeolum unspecified (Eye diagnosis),Hordeolum unspecified - ICD-11-WHO:9A01.2Z,Hordeolum unspecified,Diagnosis,N/A,,,
952859a0-0497-4f73-8497-9d9ff15b4548,,ICD-11-WHO:9A01.3,Infectious blepharitis (Eye diagnosis),Infectious blepharitis - ICD-11-WHO:9A01.3,Infectious blepharitis,Diagnosis,N/A,,,
5b9e9c87-1fb6-470a-9bf7-8b5718801723,,ICD-11-WHO:9A01.4,Infestation of eyelid (Eye diagnosis),Infestation of eyelid - ICD-11-WHO:9A01.4,Infestation of eyelid,Diagnosis,N/A,,,
a0459d78-498c-4971-8fe5-3ea1f49cdb4e,,ICD-11-WHO:9A01.Y,Other specified infectious disorders of eyelid (Eye diagnosis),Other specified infectious disorders of eyelid - ICD-11-WHO:9A01.Y,Other specified infectious disorders of eyelid,Diagnosis,N/A,,,
1536b79e-f262-4be2-8cea-5708ab44d175,,ICD-11-WHO:9A02,Inflammatory disorders of eyelid (Eye diagnosis),Inflammatory disorders of eyelid - ICD-11-WHO:9A02,Inflammatory disorders of eyelid,Diagnosis,N/A,,,
5d2a785c-6a76-464b-8bfd-8f51c3266863,,ICD-11-WHO:9A02.00,Chalazion externum (Eye diagnosis),Chalazion externum - ICD-11-WHO:9A02.00,Chalazion externum,Diagnosis,N/A,,,
569c9574-d8b3-4f36-aaa3-2257f163f222,,ICD-11-WHO:9A02.01,Chalazion internum (Eye diagnosis),Chalazion internum - ICD-11-WHO:9A02.01,Chalazion internum,Diagnosis,N/A,,,
1d62b297-96de-4b28-a4c0-3459a71e2b50,,ICD-11-WHO:9A02.0Y,Other specified chalazion (Eye diagnosis),Other specified chalazion - ICD-11-WHO:9A02.0Y,Other specified chalazion,Diagnosis,N/A,,,
8608fdd3-5986-411b-a4b9-4cc8b44e82af,,ICD-11-WHO:9A02.0Z,Chalazion unspecified (Eye diagnosis),Chalazion unspecified - ICD-11-WHO:9A02.0Z,Chalazion unspecified,Diagnosis,N/A,,,
d9b16ebf-42c3-4730-af7e-c2c5a9b4f712,,ICD-11-WHO:9A02.1,Posterior blepharitis (Eye diagnosis),Posterior blepharitis - ICD-11-WHO:9A02.1,Posterior blepharitis,Diagnosis,N/A,,,
a14ae307-1d8f-473d-abe2-75f59553173b,,ICD-11-WHO:9A02.2,Ligneous conjunctivitis (Eye diagnosis),Ligneous conjunctivitis - ICD-11-WHO:9A02.2,Ligneous conjunctivitis,Diagnosis,N/A,,,
31ad1e7f-b9e5-47bc-bea9-dbe380daad88,,ICD-11-WHO:9A02.4,Meibomian gland dysfunction (Eye diagnosis),Meibomian gland dysfunction - ICD-11-WHO:9A02.4,Meibomian gland dysfunction,Diagnosis,N/A,,,
157bb184-e215-4c5b-bd72-4d70ae4b249f,,ICD-11-WHO:9A02.Y,Other specified inflammatory disorders of eyelid (Eye diagnosis),Other specified inflammatory disorders of eyelid,Other specified inflammatory disorders of eyelid,Diagnosis,N/A,,,
ffaaabbd-9ba4-42d0-bd59-8b8b59e53e72,,ICD-11-WHO:9A03,Acquired malposition of eyelid (Eye diagnosis),Acquired malposition of eyelid - ICD-11-WHO:9A03,Acquired malposition of eyelid,Diagnosis,N/A,,,
25d4d8a5-7978-402d-91a7-62b319deed0c,,ICD-11-WHO:9A03.0,Blepharoptosis (Eye diagnosis),Blepharoptosis - ICD-11-WHO:9A03.0,Blepharoptosis,Diagnosis,N/A,,,
d2ce55ea-e62b-4a1b-9b5e-927bab25c244,,ICD-11-WHO:9A03.00,Marcus-Gunn syndrome (Eye diagnosis),Marcus-Gunn syndrome - ICD-11-WHO:9A03.00,Marcus-Gunn syndrome,Diagnosis,N/A,,,
