Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,units,Complex data handler,_version:1,_order:27
5092efdc-bc04-4c6a-9b9c-e3d2043c70b6,,"Vitreous Findings, Fundus Exam, Right Eye",Vitreous Findings Right Eye,Vitreous Findings Right Eye,Question,Coded,Clear;No cells;No opacity;No hemorrhage;Foreign body;Vitreous Syneresis;Tumor Cells;Weiss ring;Hemorrhage;Snow ball reaction;Snow bank reaction;Inflammatory cells and flares;Dislocated lens;Dislocated IOL;Silicone oil;Gas;Calcium crystals;Cholesterol crystals;Detachment;Liquefaction;Hyaloids remnants;Ingrowth mass,,,,
9d5a4bf7-4afe-4e2b-aec7-a01dd385d841,,"Vitreous Findings, Fundus Exam, Left Eye",Vitreous Findings Left Eye,Vitreous Findinhs Left Eye,Question,Coded,Clear;No cells;No opacity;No hemorrhage;Foreign body;Vitreous Syneresis;Tumor Cells;Weiss ring;Hemorrhage;Snow ball reaction;Snow bank reaction;Inflammatory cells and flares;Dislocated lens;Dislocated IOL;Silicone oil;Gas;Calcium crystals;Cholesterol crystals;Detachment;Liquefaction;Hyaloids remnants;Ingrowth mass,,,,
677ddeb4-06c9-4e59-bd9e-73834223c91b,,Duration of Chief Complaint,Duration of Chief Complaint,Duration of Chief Complaint,Question,Numeric,,,,,
0bab5ec5-f56a-4a3a-a7f1-87fe4d8a164f,,Additional Notes,Additional Notes,Additional Notes,Question,Text,,,,,
704ec25c-6738-4015-8aee-e5131e7f7ceb,,Both eyes,Both eyes,Both eyes,Misc,N/A,,,,,
de93a494-16e9-4b4d-a2df-6221852a39f8,,Which Eye,Which Eye,Which Eye,Question,Coded,Right eye;Left eye;Both eyes,,,,
0bab5ec5-f56a-4a3a-a7f1-87fe4d8a164f,,No history,No history,No history,Misc,N/A,,,,,
e2239005-9f0f-43b5-9405-b823c32056a6,,Family history of ocular illnesses,Family History of ocular illnesses,Whether there is family history of ocular illnesses,Question,Coded,Glaucoma;Myopia;Others;No history,,,,
1d01ed8d-d96a-4955-82db-f538698805a9,,HM,HM,HM,Misc,N/A,,,,,
72a3dba4-4f3f-47fa-879c-4f127d2b84ef,,CSM,CSM,CSM,Misc,N/A,,,,,
fa1c8767-1cda-40a7-b116-548602ad6c48,,LEA Symbol,LEA Symbol,LEA Symbol,Misc,N/A,,,,,
effd19d2-2c80-419a-97af-f09d734d996c,,Right eye Vision without Glasses,Right eye Vision without Glasses,Patient's  right eye visual acuity without glasses ,Question,Coded,6/6;6/9;6/12;6/18;6/24;6/36;6/60;3/60;1/60;NLP;LP+;LP;PH;CF@5m;CF@4m;CF@3m;CF@2m;CF@1m;CF@front;Uncooperative;HM;CSM;CPD;LEA Symbol;HOTV Matching;Fix and Follow Light;HM,,,,
df8580d8-471d-4100-aadf-27af5bb42d80,,Left eye Vision without Glasses,,Patient's  left eye visual acuity without glasses ,Question,Coded,6/6;6/9;6/12;6/18;6/24;6/36;6/60;3/60;1/60;NLP;LP+;LP;PH;CF@5m;CF@4m;CF@3m;CF@2m;CF@1m;CF@front;Uncooperative;HM;CSM;CPD;LEA Symbol;HOTV Matching;Fix and Follow Light;HM,,,,
5a36365e-f24c-4fdb-82f4-881256221909,,Right eye vision with glasses,,Patient's  right eye visual acuity with glasses ,Question,Coded,6/6;6/9;6/12;6/18;6/24;6/36;6/60;3/60;1/60;NLP;LP+;LP;PH;CF@5m;CF@4m;CF@3m;CF@2m;CF@1m;CF@front;Uncooperative;HM;CSM;CPD;LEA Symbol;HOTV Matching;Fix and Follow Light;HM,,,,
