Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:23,units
d93311df-b5f0-4486-a27f-1a6ae4a03f95,,Minor Operation Procedure Type,Procedure Type,Procedure Type,Question,Coded,,"Dermoid cyst removal;Electrolysis of trichiasis;Intravitreal injection -Avastin;Intra vitreal antibiotic injections;Conjunctival tear repair;Conjuctival cyst removal;Conjunctival mass excision;Epilation of trichiasis-elcroepilation;Evisceration;Lateral canthotomy;Incision of chalazion;Molluscum excision;Incision of eyelid Abscess;Incision of hordeolum;Incision of lacrimal duct;Tarsorrhaphy;Tarsotomy-Bilateral;Tarsotomy-unilateral;Irrigation and Probing, Bilateral;Irrigation and Probing, unilateral;ocular stich removal with Operating microscope;Retrobulbar injection -CPZ /Alcohol;Subconjunctival injections;Supratarsal injection; Other",,,
ba9797ba-076c-4233-a1d8-622a4e169b16,,Minor Operation Procedure Note,Minor Procedure Note,Minor Procedure Note,Question,Text,,,,,
192733ab-7639-4e4b-b3fe-c8e9094299de,,Minor Operation Complications,Minor Operation Complications,Minor Operation Complications,Question,Text,,,,,
dfbcbddf-56a3-49f4-a017-3cc6e6a642b2,,Minor Operation Specimen,Minor Operation Specimen,Minor Operation Specimen,Question,Text,,,,,
53c6045a-7e0c-43b2-801c-6c65639f1417,,Date of Minor Operation,Date of Minor Operation,Date of Minor Operation,Question,Date,,,,,
e86cd00c-b364-409f-a656-d5bc88194bba,,Name of Professional,Name of Professional,Name of Professional,Question,Text,,,,,
3de3d4ea-adf9-48c0-ba16-7f98b0e9c772,,Laser Procedure Type,Laser Procedure Type,Laser Procedure Type,Question,Coded,,"Diabetic retina laser;YAG PI laser;Yag pco Rx;Laser Trabeculoplasty; Other",,,
8ff49b54-c31b-4dda-a331-740230c70949,,Laser Procedure Note,Laser Procedure Note,Laser Procedure Note,Question,Text,,,,,
369cb705-161c-4632-94d7-885961953b9f,,Laser Procedure Complications,Laser Procedure Complications,Laser Procedure Complications,Question,Text,,,,,
a4fad549-1bf9-4cc5-a85f-75aa279f6e75,,Date of Laser Procedure,Date of Laser Procedure,Date of Laser Procedure,Question,Date,,,,,
b760c4f3-14ce-4eaa-86fb-1b8a158cf760,,Ocular Stichwith Removal with Slit Lamp Examination,Ocular Stichwith Removal with Slit Lamp Examination,Ocular Stichwith Removal with Slit Lamp Examination,Misc,N/A,,,,,
0edcb929-fcea-4b04-be68-b97a83cbd992,,OPD Procedure Type,OPD Procedure Type,OPD Procedure Type,Question,Coded,,"Corneal FB removal(stomal);Ocular Stichwith removal with Slit Lamp Examination;picking concretion-Bilateral;picking concretion-unilateral;Eye patch",,,
0c1bc0c2-4349-4ce6-94ae-dc975eaf3f4d,,OPD Procedure Note,OPD Procedure Note,OPD Procedure Note,Question,Text,,,,,
31a2515e-64f7-4244-ae9a-87c16b022b45,,OPD Procedure Complications,OPD Procedure Complications,OPD Procedure Complications,Question,Text,,,,,
c53f3941-766b-43fc-b5af-a04ddadca58f,,Date of OPD Procedure,Date of OPD Procedure,Date of OPD Procedure,Question,Date,,,,,
ace5bbb2-79d0-43c8-8ee1-4798da20d892,,Upload Consent Form,Upload Consent Form,Upload Consent Form,Image,Complex,ImageUrlHandler,,,,
7f7e34d4-0595-4171-8bf8-6d6e50525d66,,Reason for Counselling Refusal,Reason for Counselling Refusal,Reason for Counselling Refusal,Question,Text,,,,,
43d3f687-480e-4221-8ceb-0df35f026424,,Counselling Accepted?,Counselling Accepted?,Counselling Accepted?,Question,Boolean,,,,,
b4a0cf9a-2fd3-404c-929e-975bb0560adc,,Retinal OCT Counselling Checklists,Retinal OCT Counselling Checklists,Retinal OCT Counselling Checklists,Misc,N/A,,,,,
26dc0cdc-7055-4186-8bca-6e4a2b27a6e9,,FFA investigation counselling checklists,FFA investigation counselling checklists,FFA investigation counselling checklists,Misc,N/A,,,,,
