Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:2,_order:20,Data class,Data type,Answers
2930dbfd-6902-447b-adf4-f03e79605977,,Insurance,,,,,,Misc,N/A,
fc894152-07be-4e77-9dac-2a164e400a13,,Cash,,,,,,Misc,N/A,
b63de5f2-b283-4466-8ccc-4c18402fa732,,Credit,,,,,,Misc,N/A,
d898f6f4-6f47-4fd0-bff3-94376d476db9,,Electronic,,,,,,Misc,N/A,
c1e221e8-d05e-4cf0-8034-e596f2709fe9,,Free,,,,,,Misc,N/A,
1998cde3-3d7d-4682-bf8b-2243cd2f6265,,Subsidized,,,,,,Misc,N/A,
497706a9-18ad-4003-91c4-fcfd1761f4b2,,Full-paying,,,,,,Misc,N/A,
2e4c5135-280a-4b1f-a171-2919cc1c4090,,Paying,,,,,,Misc,N/A,
a0bf39ed-f42a-4d97-9ccc-e4d64830480b,,Mode of Payment,,,,,,Question,Coded,"
Cash;
Credit;
Insurance;
Electronic;
Subsidized;"
adb10fc0-794f-4443-89ff-c77aec731cd8,,Payment Method,,,,,,Question,Coded,"
Paying;
Free;"
05b268b7-a41b-4c06-8091-c798b43e27d0,,25 Percent,25,,,,,Misc,N/A,
073de8bf-8472-4453-bcfb-9d46db2d056f,,50 Percent,50,,,,,Misc,N/A,
bb93dff7-463e-4157-b04c-6df5326c3a19,,75 Percent,75,,,,,Misc,N/A,
80201914-a095-42fd-9fd9-b68e1eea3389,,Enter Percentage Subsidized,Percentage Subsidized (%),,,,,Question,Numeric,
d75f4276-a024-4e06-aa95-6bc9c2b0e7b2,,Percentage Subsidized,Percentage Subsidized (%),,,,,Question,Coded,"25 Percent;
50 Percent;
75 Percent;"
3ee11a9e-36c3-47c8-af1d-ee7e27c9c41f,,"Medication, Subsidy",Medication,,,,,Misc,N/A,
c5908f6e-ba2d-4f61-9170-7b49f414444d,,"Procedure, Subsidy",Procedure,,,,,Misc,N/A,
58ba4a7b-dc72-4bec-93c0-9592dcb52c8e,,"Tests, Subsidy",Tests,,,,,Misc,N/A,
32603c13-676a-4f36-8b81-5dc240a506f5,,Level of Subsidy,,,,,,Question,Coded,"Medication, Subsidy;
Procedure, Subsidy;
Tests, Subsidy"
aee3f85e-ef95-4eac-a5f5-65b066dbee3f,,Assigned Visit Provider,,,,,,Misc,Text,
97fea1d4-759f-40d1-9acd-9d682adc5d89,,Provider Assignment,,,,,,Misc,N/A,
