Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,12da7334-41d7-4f93-a60b-a22a9cc3074c,CONCEPT-SET,19,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,SNOMED-CT:86273004,CONCEPT-SET,20,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,SNOMED-CT:423827005,CONCEPT-SET,21,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,0d702c5b-ace4-4ff1-ab62-748831bd93d9,CONCEPT-SET,22,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,ff8a22a5-724e-438c-b3df-d186aa740406,CONCEPT-SET,23,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,0082a549-1991-4dce-85c3-1dfdc208913a,CONCEPT-SET,24,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,445208bf-d940-4475-9363-1db3afb8eecc,CONCEPT-SET,25,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,e3590ca6-d638-4cbe-b311-26a3982c129e,CONCEPT-SET,26,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,4b908cb7-06d1-4027-b2f9-43cfff09318c,CONCEPT-SET,27,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,dde1f65c-4bb9-4831-a8d2-455b14081b9f,CONCEPT-SET,28,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,96c5c20c-e1f2-4b31-860b-ac249dde9e29,CONCEPT-SET,29,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,04deca44-f645-487d-aedb-d0c1406374ca,CONCEPT-SET,30,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,89e4784d-bc70-47ee-9847-92d4df06ac24,CONCEPT-SET,31,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,58332052-f107-47f3-be2e-fb5bb0578e0a,CONCEPT-SET,32,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,7af100ec-e3e4-4998-ade8-0be9d8265c93,CONCEPT-SET,33,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,96c01d4a-b230-481b-8a30-6937ff1beeda,CONCEPT-SET,34,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,92dd3a61-7d06-48f8-bdac-d882b228b6a9,CONCEPT-SET,35,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,23e51f6e-5044-41ca-8ccd-d9ce05738497,CONCEPT-SET,36,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,2d4ce6d8-5597-4fef-a495-cb7f696666b6,CONCEPT-SET,37,,
